Sample,From,To,Resistance,Reactance
1,1,2,0.0193446773338556,0.0590001260464423
1,1,5,0.0538588950297267,0.223462132112714
1,2,3,0.0463772165845528,0.195967432115558
1,2,4,0.0574135865884209,0.174962150021237
1,2,5,0.0574453937978625,0.174397721116113
1,3,4,0.0663329738604292,0.173151314650922
1,4,5,0.0135169856392411,0.0422190885603996
1,4,7,0,0.212678535154252
1,4,9,0,0.558603159667651
1,5,6,0,0.24955182674849
1,6,11,0.0948705416337366,0.196964053727624
1,6,12,0.121670015238845,0.257194118467855
1,6,13,0.0667028776404769,0.128419836998889
1,7,8,0,0.17658253859
1,7,9,0,0.109096986475202
1,9,10,0.0317311346167865,0.0860755716539974
1,9,14,0.126059114161745,0.270482655635121
1,10,11,0.0803579158780109,0.192647787243768
1,12,13,0.225149848535702,0.19604827358455
1,13,14,0.17301973733959,0.345135818416251
2,1,2,0.0193221466852466,0.0587975513439933
2,1,5,0.0539285137073619,0.224514479111057
2,2,3,0.0464932519879631,0.200996620320053
2,2,4,0.0583114114625596,0.176766166145366
2,2,5,0.0578929757005594,0.171579880308541
2,3,4,0.0670704886565615,0.171308826676618
2,4,5,0.0134768506667478,0.0427614305437221
2,4,7,0,0.209722666266413
2,4,9,0,0.562850919523591
2,5,6,0,0.252250638997324
2,6,11,0.0941025157362201,0.196234662109028
2,6,12,0.12294623789997,0.257800415949709
2,6,13,0.0653494948191824,0.130173939709759
2,7,8,0,0.173302731136189
2,7,9,0,0.111569914705292
2,9,10,0.0319729402557832,0.0848288860465441
2,9,14,0.129178892458099,0.270940760012919
2,10,11,0.0815824624708429,0.193110687164987
2,12,13,0.224222664252096,0.20310193205399
2,13,14,0.16990381678251,0.352529996629567
3,1,2,0.0191252365703089,0.0578486020987198
3,1,5,0.0530296786073998,0.222909656666572
3,2,3,0.0474885835737214,0.198127542740829
3,2,4,0.0587721279302832,0.174902639361142
3,2,5,0.0569496784153167,0.172876211876085
3,3,4,0.067392241086662,0.168868440858959
3,4,5,0.0133512149329452,0.0414556429801922
3,4,7,0,0.208450360395941
3,4,9,0,0.548437408856436
3,5,6,0,0.25578209425043
3,6,11,0.0946093511216,0.197532022771843
3,6,12,0.122257963187658,0.252391223625934
3,6,13,0.0663893751811442,0.131343922615428
3,7,8,0,0.172718995472034
3,7,9,0,0.109195034682709
3,9,10,0.0320794934864166,0.084322344263901
3,9,14,0.127150474873945,0.273847088085458
3,10,11,0.0823266156487847,0.193230834933023
3,12,13,0.223377441488573,0.200324834323525
3,13,14,0.172871665741321,0.349530119797054
4,1,2,0.0192024240199767,0.0592303861820918
4,1,5,0.053752049200923,0.226440507270643
4,2,3,0.0476874645543264,0.195353417064585
4,2,4,0.0586458790877611,0.176689046707097
4,2,5,0.0573525578105235,0.173468727906092
4,3,4,0.0669930814488768,0.168976187531138
4,4,5,0.0133715147364965,0.0417329464761335
4,4,7,0,0.214931891764752
4,4,9,0,0.548579434767172
4,5,6,0,0.253580434346227
4,6,11,0.0954218076522514,0.198746494679049
4,6,12,0.123546130835464,0.258781095794185
4,6,13,0.0653170204883221,0.132845980502235
4,7,8,0,0.177062976434726
4,7,9,0,0.110003064499914
4,9,10,0.0318515828542819,0.0850913242010047
4,9,14,0.127329026849629,0.27611037854536
4,10,11,0.0824250592651168,0.192123441696644
4,12,13,0.222085761693053,0.200084007790895
4,13,14,0.171040475200137,0.344321838038075
5,1,2,0.0193698177232414,0.058661563973859
5,1,5,0.0544168310580738,0.221306142030942
5,2,3,0.0464882220920887,0.197938924035611
5,2,4,0.0589085132664023,0.178407537883453
5,2,5,0.0569858338797976,0.174507391658243
5,3,4,0.0665823290897934,0.170224934225948
5,4,5,0.0131210370279806,0.0422132580359534
5,4,7,0,0.206705154444408
5,4,9,0,0.560683301028062
5,5,6,0,0.24831446667177
5,6,11,0.0939636481034344,0.199514488585445
5,6,12,0.124463417595364,0.253202386882259
5,6,13,0.0672627057287506,0.131891258959023
5,7,8,0,0.178295261587985
5,7,9,0,0.109455601566832
5,9,10,0.0313130418334978,0.0845962032294901
5,9,14,0.127466593775263,0.264899444119562
5,10,11,0.0814036914474055,0.192390246770703
5,12,13,0.217656140446772,0.199238630970529
5,13,14,0.173126425705539,0.341450717921069
6,1,2,0.0195393958908294,0.0593641388336277
6,1,5,0.053955434875059,0.225518860220062
6,2,3,0.0476304611865486,0.199990348604114
6,2,4,0.0580667325722812,0.177817223259014
6,2,5,0.0568233418326408,0.174396862014676
6,3,4,0.0673233133206679,0.171736053946417
6,4,5,0.01338888325146,0.0417579299291669
6,4,7,0,0.206893412757914
6,4,9,0,0.547666683823428
6,5,6,0,0.253006774581039
6,6,11,0.0936863928615094,0.198869692348756
6,6,12,0.122408381271531,0.256604966535346
6,6,13,0.0653376664764849,0.132865547225429
6,7,8,0,0.178958564655538
6,7,9,0,0.110627776428753
6,9,10,0.0316670960850626,0.0841897466898185
6,9,14,0.128837852192058,0.266367796025364
6,10,11,0.0807007786082199,0.193866182339777
6,12,13,0.21937857173996,0.203437856663606
6,13,14,0.172380586994547,0.345559002163639
7,1,2,0.0193498724779128,0.0594439811117395
7,1,5,0.054061249975924,0.222930876431278
7,2,3,0.047112089073578,0.20159638544921
