Sample,From,To,Resistance,Reactance
1,1,2,0.0238990678606092,0.0611046163856789
1,1,5,0.0605399231263845,0.244078966437318
1,2,3,0.0475253265018148,0.213277485414689
1,2,4,0.0716082464766571,0.18762169254163
1,2,5,0.0623398437279942,0.172054650333878
1,3,4,0.0702314150762266,0.125530829477192
1,4,5,0.0122677610706079,0.0422251262988632
1,4,7,0,0.229236211030867
1,4,9,0,0.524080480062312
1,5,6,0,0.240075680659573
1,6,11,0.0909332945782047,0.221767963180297
1,6,12,0.121709679864768,0.236279715758881
1,6,13,0.065515720481723,0.140356690330884
1,7,8,0,0.174804961261583
1,7,9,0,0.119650069728416
1,9,10,0.0309703146841271,0.0782960997884595
1,9,14,0.133727413829741,0.234051915809781
1,10,11,0.0860444886482691,0.210895660150686
1,12,13,0.20675748037575,0.194979228937651
1,13,14,0.201732490928329,0.366860646505422
2,1,2,0.0208115261151867,0.0606783306220368
2,1,5,0.0464788033225623,0.246452290393486
2,2,3,0.0427935653765306,0.185702772172531
2,2,4,0.0612289357208139,0.193064935715615
2,2,5,0.0564337069060421,0.178572654483901
2,3,4,0.0628691904257643,0.179931682837556
2,4,5,0.0119996862727497,0.038307270840764
2,4,7,0,0.229781704741317
2,4,9,0,0.676784923311542
2,5,6,0,0.251458811654675
2,6,11,0.0742178564631815,0.188607771646746
2,6,12,0.136068941449935,0.228304781022961
2,6,13,0.0645792089652536,0.131404960263683
2,7,8,0,0.185529709407556
2,7,9,0,0.113128229840243
2,9,10,0.0264897388212973,0.0687958492014518
2,9,14,0.138803613217872,0.271866398601153
2,10,11,0.0776913514464973,0.184093242055612
2,12,13,0.202429723711712,0.187381317829571
2,13,14,0.149265170298351,0.351721697552504
3,1,2,0.0168402637285447,0.0580279104652442
3,1,5,0.0578848497583353,0.212844972692513
3,2,3,0.0531716529468802,0.188019224957487
3,2,4,0.0612963214165698,0.197582750823554
3,2,5,0.0538794736628522,0.170059690898658
3,3,4,0.0698983333708696,0.155752724148735
3,4,5,0.0139093857349615,0.0387804885159063
3,4,7,0,0.148385180921544
3,4,9,0,0.611932979592077
3,5,6,0,0.22604105514318
3,6,11,0.101666804315404,0.208922487306058
3,6,12,0.13671037204343,0.236097329562822
3,6,13,0.0644274552677049,0.148734005068475
3,7,8,0,0.170166663810464
3,7,9,0,0.135996082958707
3,9,10,0.026651244809156,0.0917923602733021
3,9,14,0.127812770953086,0.255375608722612
3,10,11,0.0850313681541207,0.197151417581486
3,12,13,0.219513254547889,0.177061438892455
3,13,14,0.16142280288073,0.380360290039976
4,1,2,0.0197512037690877,0.0603741975011129
4,1,5,0.0589215317960218,0.243667574209771
4,2,3,0.0457708633884115,0.187555330780534
4,2,4,0.0560590992389704,0.139901631403313
4,2,5,0.057753052139056,0.188209679728822
4,3,4,0.0590331688664048,0.154971006175823
4,4,5,0.0144712625432403,0.044732050420275
4,4,7,0,0.233574974048661
4,4,9,0,0.572592543910828
4,5,6,0,0.240257597688366
4,6,11,0.0997546939937253,0.210931833672
4,6,12,0.125634417245249,0.228057239189667
4,6,13,0.0695045889532196,0.109629189384216
4,7,8,0,0.175541560184227
4,7,9,0,0.0955034742345339
4,9,10,0.0367944013955648,0.0876442348103711
4,9,14,0.117370515203143,0.256160692462961
4,10,11,0.0816795433619355,0.181172405031853
4,12,13,0.212427762285832,0.229572603327903
4,13,14,0.188670910181247,0.314060065283861
5,1,2,0.0158904224722168,0.0678541887049961
5,1,5,0.0545794661041592,0.224091001011207
5,2,3,0.0477787113299988,0.211375979301303
5,2,4,0.0584924588133007,0.19889975763334
5,2,5,0.0520547116590128,0.164368782000616
5,3,4,0.0649179683186073,0.188718403891839
5,4,5,0.0129849412738385,0.0387516936584697
5,4,7,0,0.215940868913088
5,4,9,0,0.621161200029275
5,5,6,0,0.215508116267286
5,6,11,0.0819058644593674,0.173709983844827
5,6,12,0.100249782454897,0.227073983544127
5,6,13,0.0537581478939128,0.132714734271939
5,7,8,0,0.196865128239534
5,7,9,0,0.121952155994927
5,9,10,0.0354383740253537,0.0794427330865045
5,9,14,0.10143407737993,0.306287366798477
5,10,11,0.0750914376051137,0.213517757023062
5,12,13,0.247101583766691,0.190633445592846
5,13,14,0.192952709346611,0.339478995113939
6,1,2,0.0184320641658203,0.0575246345034408
6,1,5,0.0562124215661804,0.23848248429683
6,2,3,0.0462166014663615,0.186806105491417
6,2,4,0.0662409462701204,0.172355313042905
6,2,5,0.0586423750535788,0.132546038984361
6,3,4,0.0734042858417332,0.199122577004685
6,4,5,0.0124397447162739,0.0443041452756234
6,4,7,0,0.189325610387976
6,4,9,0,0.597261746393929
6,5,6,0,0.220785460931338
6,6,11,0.0898679886786053,0.20066855187448
6,6,12,0.134190054822359,0.237168327033251
6,6,13,0.0706978731939657,0.115958405849235
6,7,8,0,0.188175180553359
6,7,9,0,0.107070752202474
6,9,10,0.0262364432567458,0.0712602716504405
6,9,14,0.110853986970832,0.235875379092952
6,10,11,0.088263055115682,0.194202118345778
6,12,13,0.235692373182882,0.197249978071025
6,13,14,0.171115072927877,0.35751872228622
7,1,2,0.0202118014151298,0.0644768661214167
7,1,5,0.0589597340368308,0.220198009767628
7,2,3,0.0541803306206211,0.204158291758055
7,2,4,0.053572010884461,0.180531350336481
7,2,5,0.0631562441839274,0.155215167142863
7,3,4,0.0668071579088808,0.162882798995868
7,4,5,0.0130378179304178,0.0380097730199146
7,4,7,0,0.213117382770129
7,4,9,0,0.664316263107837
7,5,6,0,0.283440348501119
7,6,11,0.0770989115828768,0.192574751892797
7,6,12,0.133530936727605,0.302516103089367
7,6,13,0.0683981071209195,0.155217508733322
7,7,8,0,0.16965421949452
7,7,9,0,0.113180591055777
7,9,10,0.0308026048739004,0.0940890305244637
7,9,14,0.144590078961021,0.26199373216643
