Voltage,Angle,Pi,Qi
1.047919074,0.005349591,0.454202459,-0.01272307
1.04380788,-0.017660437,-0.611443597,0.5372949
1.004562512,-0.007650995,-0.143426468,-0.233724722
1.015653292,0.016988678,0.824562669,-0.718983119
1.024448961,0.000543386,-0.403167442,0.206028041
1.061212482,0.02597851,0.585282479,-0.423579876
1.077200293,-0.01817752,-0.523544952,0.346298457
1.097984437,0.006015617,0.162427598,0.131517376
1.049899807,-0.00134507,0.111987897,-0.701764889
1.072966032,0.006086203,0.25154465,0.226593353
1.067397886,-0.005159223,-0.198144747,0.09659659
1.054640123,-0.006427977,-0.155229018,0.00882004
1.06600114,-0.006208389,-0.044919827,0.202729469
1.036696098,-0.042402554,-0.279805474,0.001748781
1.056471923,0.015143758,0.13267223,0.452856055
1.033277732,0.015431989,0.209913727,-0.247918852
1.012142526,-0.015680605,-0.227317812,-0.047452128
1.007866817,-0.004703176,-0.685902677,-0.613632343
1.027381048,0.018746654,0.866319761,0.242682465
1.061761519,-0.026362415,-0.381066278,0.045968346
1.066100322,-0.015281876,-0.087124921,0.203950441
1.083085626,-0.013661174,0.01062383,0.104445392
1.053188162,-0.013231725,0.245683119,-0.116586243
1.039718924,-0.021561668,-0.411885327,-0.095953891
1.059181077,0.025282904,0.503366075,-0.119462599
1.058224151,-0.009388914,0.147382165,-0.096471764
1.049939785,-0.037127786,-0.193380798,0.102139389
1.021420928,-0.026651645,-0.096840704,-0.157507294
1.070258629,0.003155144,0.588242283,0.187300478
1.05662009,-0.019253691,-0.547297472,0.691366237
0.975713199,0.0253667,0.224307968,-0.682542502
1.01030805,-0.006437427,-0.049102584,-0.863846728
1.033746383,-0.015374434,-0.265202566,0.396063561
1.081798792,0.002749855,0.142000889,0.360998116
1.080616132,-0.00503047,0.256014869,0.434028713
1.101715245,-0.027294908,-0.150464493,0.133637682
1.048503053,-0.014549662,-0.166483211,-0.450577726
1.053280306,-0.007756041,-0.044751856,0.040752648
1.061502354,0.017976399,0.173494863,-0.135893714
1.056469653,0.007759749,-0.005745703,-0.063075277
1.047154309,0.010820985,0.024052462,-0.255896608
1.02370713,-0.016914345,-0.139472071,-0.094076579
1.056407257,-0.012981167,0.336167405,0.252031175
1.042798871,-0.029751726,-0.709797252,0.354887006
0.995681725,-0.012217606,-0.159843489,-0.414316249
1.033395201,0.010753273,0.930887954,0.186528627
1.019533484,-0.000156065,-0.235842316,-0.527893614
1.073690675,0.007448471,0.265112446,0.120552544
1.063969393,-0.023956211,-0.916188039,-0.223190557
1.089782286,0.025733533,0.326944669,0.167820472
1.076760726,0.01472091,0.737686267,0.197109563
