Voltage,Angle,Pi,Qi
1.060701741,0.001315237,2.353659001,-0.156334457
1.045659244,-0.086821064,0.190023967,0.335605585
1.009938601,-0.224273782,-0.958065576,0.061265077
1.017957826,-0.181609795,-0.511567747,0.116379427
1.017148535,-0.152878971,-0.058005247,-0.12770403
1.070894977,-0.24940873,-0.13677747,0.110546827
1.061087962,-0.234547164,-0.03052016,-0.021246861
1.090355364,-0.232558207,0.013063571,0.181176029
1.056772995,-0.260253462,-0.27429637,-0.139626348
1.050701525,-0.262905621,-0.076259207,-0.079406337
1.056867972,-0.2611314,-0.062212318,-0.009440453
1.055370403,-0.261319657,-0.048344913,-0.01429613
1.048124109,-0.261420897,-0.119963408,-0.112268067
1.036630115,-0.277849191,-0.142577148,-0.042237042
1.061741623,-0.005058656,2.24855397,-0.095576652
1.044910152,-0.086685844,0.296671158,0.234756838
1.008547531,-0.222174189,-0.950783927,0.029241246
1.020984336,-0.180723961,-0.335912657,0.189065802
1.017142293,-0.15838383,-0.266677077,-0.146811813
1.071406834,-0.250891665,-0.128475013,0.109720318
1.063654999,-0.234022006,-0.034544026,0.03234875
1.090254324,-0.233552416,0.003091467,0.164633308
1.055163113,-0.25866854,-0.224156976,-0.237469851
1.051431464,-0.264481069,-0.118652582,-0.034865141
1.057869893,-0.259607776,-0.031655538,-0.019287405
1.055276817,-0.263394016,-0.05498097,-0.018380769
1.04935996,-0.263478295,-0.115116511,-0.099073587
1.036203281,-0.280343478,-0.157164661,-0.035339533
1.05915631,0.00126005,2.326691464,-0.22312144
1.046999858,-0.08588339,0.253423515,0.347543737
1.010831574,-0.222627662,-0.941087491,0.039432273
1.020796852,-0.183910854,-0.591600352,0.152950634
1.020660245,-0.155077139,-0.091677764,-0.05717875
1.070985055,-0.24607173,-0.057836348,0.060172624
1.061982162,-0.231401512,0.04866155,0.004363205
1.089352367,-0.235510573,-0.026986366,0.169319123
1.055027785,-0.258239831,-0.227474071,-0.22616616
1.050977022,-0.264920443,-0.14814529,-0.031692715
1.058351577,-0.25668301,-0.020163816,-0.013668134
1.054247576,-0.264555809,-0.080432948,-0.007913225
1.048662198,-0.263680414,-0.149085236,-0.087896975
1.036950816,-0.280312278,-0.154954071,-0.028791417
1.059766264,-0.000622855,2.270622163,-0.103474231
1.042090273,-0.08424019,0.24504137,0.191166026
1.009504818,-0.221236782,-0.947071513,0.066208673
1.018774793,-0.179578987,-0.464870979,0.132159056
1.018529216,-0.152645328,-0.095148634,-0.053919948
1.069057254,-0.24704739,-0.081836322,0.036031044
1.061708819,-0.233240784,0.022714291,0.028564271
1.08926932,-0.237275373,-0.026488428,0.17048096
1.053260656,-0.26077893,-0.304105237,-0.244587504
1.05156383,-0.264491635,-0.072624213,-0.025555191
1.057601218,-0.262218157,-0.070506413,0.00783222
1.054568195,-0.26354625,-0.067848946,-0.004540942
1.048706221,-0.263112089,-0.133521447,-0.074608615
1.035019903,-0.278961305,-0.14243923,-0.041335095
1.062093027,0.000706035,2.34363069,-0.116930752
1.04427951,-0.086048483,0.171721261,0.243036292
1.00817227,-0.22200689,-0.956004039,0.041707086
1.01915625,-0.179131302,-0.448639137,0.078455307
1.021008067,-0.153087536,-0.10245641,0.009567555
1.069736128,-0.247465258,-0.096685422,0.030351086
1.059826978,-0.230564915,0.093814637,-0.055551031
1.091690086,-0.234494443,-0.025810171,0.197522401
1.056347063,-0.263933537,-0.397033766,-0.135850087
1.051678661,-0.264109096,-0.047598653,-0.06762775
1.056941281,-0.260835659,-0.061636375,-0.007725547
1.056460331,-0.261080271,-0.044951261,-0.014830522
1.050088867,-0.264437703,-0.143813226,-0.058568072
