x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
1.06,1.045,1.01,1.017144492,1.019148407,1.07,1.061959436,1.09,1.056945395,1.052272043,1.057782903,1.0544682,1.050001957,1.036689192,158.4635088,77.27117483,76.10970608,58.53180742,43.31104703,-23.76869122,-64.62173266,25.39915472,14.51597921,43.93684446,5.76458413,8.148576995,17.98114819,0.227748107,25.40160982,5.214996642,9.713631598,-2.424073765,1.386257323,4.193004042
1.06,1.045,1.01,1.016799579,1.018603512,1.07,1.061216524,1.09,1.05574471,1.051100938,1.057096303,1.055009278,1.049329887,1.034808972,168.3045513,80.81101154,83.52606317,59.8602211,43.9792966,-29.53051535,-66.73084244,27.92901151,16.13137297,45.91036988,6.697210393,8.00273484,19.07995269,-0.27229932,27.84852812,4.674687208,10.01677925,-3.571503316,2.123491842,5.123509018
1.06,1.045,1.01,1.016944222,1.018779471,1.07,1.061617462,1.09,1.056406978,1.051408439,1.057179956,1.054872279,1.049378467,1.035205873,165.8394843,79.7754389,81.07865843,59.5897546,43.58887323,-27.81049169,-66.25823169,26.58436559,15.33538678,45.12446872,6.462392079,8.15453624,19.11299524,-0.262933044,26.90155762,6.145008961,10.62433373,-2.90499933,2.006160555,4.949671096
1.06,1.045,1.01,1.015161825,1.017436642,1.07,1.060674378,1.09,1.055351581,1.050335709,1.056854543,1.054375771,1.048854362,1.035522109,178.1118733,84.54199574,85.00678141,63.47593607,45.69514581,-28.13296976,-72.62226355,26.43079864,15.18574912,45.68736682,6.569189088,8.540572368,19.78771263,-0.489845789,26.77741126,6.404059257,9.544856551,-3.735847854,2.039091984,4.188004121
1.06,1.045,1.01,1.01378482,1.016212217,1.07,1.060178165,1.09,1.054876842,1.050023076,1.056877429,1.053979989,1.048941753,1.035175079,205.6069284,94.00642767,101.9079608,68.62323005,48.30338484,-39.37731751,-84.385978,24.4578681,14.20041471,45.48396763,6.598138729,8.816754051,19.62682497,-0.380897011,25.12708411,5.975228257,9.353098252,-4.214752427,1.83820537,4.584538731
1.06,1.045,1.01,1.015077359,1.017450766,1.07,1.061318882,1.09,1.056460809,1.051581147,1.057809501,1.053055762,1.049162032,1.037538215,193.3068304,89.63154921,96.3345983,66.36967961,46.44373842,-36.66906464,-81.0050181,21.69523118,12.5618956,43.68385232,5.414998479,9.109059487,19.46724991,-0.625236353,23.15621324,6.340162529,9.154041044,-2.881182215,1.074579041,2.857657771
1.06,1.045,1.01,1.016739963,1.018501026,1.07,1.062095125,1.09,1.057319255,1.052437784,1.058045811,1.051717898,1.049516899,1.037608315,184.4875821,85.93490701,94.66610664,63.09805022,45.1595288,-38.09002695,-74.44747162,23.02162725,13.42594155,44.76770665,5.19742948,9.901866198,18.80245289,-0.78044939,24.30287303,6.407167127,9.87282271,-2.408179695,0.077510397,3.083737162
1.06,1.045,1.01,1.015880201,1.017823163,1.07,1.061725276,1.09,1.05694653,1.052492457,1.058165314,1.051610883,1.048137164,1.036012237,191.2677302,88.75629511,98.93733539,65.50616822,46.43781083,-39.81877057,-78.35440785,22.61807498,13.17422557,44.85372008,4.77757021,10.42060501,20.91118242,-0.196520817,23.39582761,5.179400813,10.73813971,-2.113227201,0.610296061,3.120610813
1.06,1.045,1.01,1.017589672,1.01900147,1.07,1.062826342,1.09,1.058353315,1.053723346,1.058761314,1.051158255,1.047381334,1.036060861,186.5924332,86.04513638,98.34367345,62.54472416,44.85777303,-41.87796346,-73.82220155,21.83261868,12.9604284,44.6944064,3.749496979,10.64892359,21.86813969,-0.252157625,23.04024465,6.173832872,12.04685639,-0.979917926,0.996913394,2.561856715
1.06,1.045,1.01,1.015536395,1.0171503,1.07,1.061430778,1.09,1.056629412,1.051849204,1.057629671,1.0501869,1.047440536,1.035132346,203.0859012,92.66618582,105.3414462,66.58758526,47.47497792,-44.73825804,-79.67113125,24.42408407,14.19106978,47.90405671,5.567145921,11.19478521,22.13178766,-0.251198155,25.53753374,6.484928542,11.18830112,-1.972041274,0.373468096,3.026846655
1.06,1.045,1.01,1.016398948,1.017717006,1.07,1.062106975,1.09,1.057601706,1.052531819,1.057955845,1.050432156,1.047143054,1.035651681,198.8402221,90.78587015,103.1685218,64.78160823,46.38670771,-44.40888151,-76.69957291,24.14048261,13.98334161,48.53802762,4.476244533,11.09268941,22.22836199,0.221875311,25.16938448,7.951896918,12.09266058,-1.319170653,0.476130193,2.343726351
1.06,1.045,1.01,1.014747368,1.016457764,1.07,1.061296929,1.09,1.056709578,1.051944145,1.057486555,1.050072062,1.047635662,1.036199101,213.4749293,96.19185928,109.4538771,68.88211019,48.26789739,-46.32696919,-83.83086386,23.56349868,13.66991322,48.51463867,4.964192945,11.36149527,21.65335804,0.113184096,24.83618114,6.795056621,10.66942127,-1.314759739,0.017648349,2.254288406
1.06,1.045,1.01,1.014859837,1.016382186,1.07,1.061299297,1.09,1.056651445,1.051687985,1.057604451,1.04983087,1.048096723,1.036730707,224.1536843,99.20630138,117.111727,69.63925104,48.56149031,-53.35726321,-86.60431866,23.48304946,13.82985915,48.64109675,5.065322406,11.49529772,20.97109922,0.271235648,24.73881769,7.054671035,10.2098263,-2.004013046,-0.149680083,2.267498731
1.06,1.045,1.01,1.012966744,1.014488237,1.07,1.060128905,1.09,1.05524148,1.050517693,1.056720862,1.049768963,1.047996282,1.034598916,247.4824001,107.489661,127.4439095,73.81431646,50.93337127,-59.25819296,-93.31823526,24.52927352,14.29937603,50.62838765,5.891388661,11.56063745,21.12240487,-0.139970783,25.75695993,6.609524292,10.97595747,-2.186283533,-0.118297233,3.752834424
1.06,1.045,1.01,1.01355389,1.015260584,1.07,1.060040005,1.09,1.054712399,1.049484038,1.055523542,1.052891883,1.049501282,1.035172705,249.519296,106.6706864,130.578888,72.68836178,49.6604364,-63.16319998,-95.25017393,24.48208088,14.11424459,48.01689635,7.865925813,9.214262805,19.20021132,0.62517514,25.39502741,6.948728209,9.258052418,-2.947995479,0.733551048,4.639937144
1.06,1.045,1.01,1.013164483,1.014753377,1.07,1.059988008,1.09,1.054801472,1.049058677,1.055421114,1.053552332,1.049216388,1.035093578,257.7590474,109.6815501,135.565372,74.36949848,50.24792901,-66.85063546,-97.61491861,24.27693445,14.21033477,49.34355517,7.880275599,8.83763967,19.19125941,1.425191978,25.17703611,9.176961518,9.635949723,-3.244105053,1.265893946,4.362582778
