x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
1.06,1.045,1.01,1.014369148,1.016910333,1.07,1.058771662,1.09,1.052380614,1.047341494,1.05509998,1.053222021,1.049039607,1.032940908,155.8146515,77.02999845,63.54676928,58.33367891,43.93591964,-11.21608967,-60.49879074,34.25838663,19.57529976,48.42759233,9.472594289,9.231080553,20.00410178,-0.012072352,34.20242795,5.259878033,8.401757774,-6.262987191,1.256583125,6.560283548
1.06,1.045,1.01,1.014400522,1.016945776,1.07,1.059276643,1.09,1.05329386,1.048023003,1.055422029,1.051104445,1.049338888,1.033425076,155.7114798,76.70563091,60.14535673,57.73697602,43.6410013,-8.298615675,-59.45651629,32.68224142,18.67704595,48.15247918,8.7988226,10.6261598,19.73301968,0.246604569,32.39084319,6.56387265,9.261533169,-5.343966634,-0.068619839,5.926162241
1.06,1.045,1.01,1.01620467,1.018405692,1.07,1.060682426,1.09,1.055171909,1.049561275,1.056204995,1.050842194,1.049817178,1.034605715,142.3122654,71.09402278,53.51355774,53.69199999,41.12357399,-5.682647723,-53.13153968,30.97898053,17.69624194,46.96446218,7.60006541,10.64659055,18.87653427,0.473167587,30.7938783,8.040582524,10.05702461,-4.074999839,-0.557634808,5.430270629
1.06,1.045,1.01,1.016208691,1.018431202,1.07,1.060656304,1.09,1.055115672,1.049263836,1.055532855,1.05273076,1.049058382,1.033975893,146.5458337,71.77764302,53.40533443,53.38098403,40.55549526,-5.963293638,-53.75696103,31.19104837,17.71556902,47.33762331,8.327462747,9.525113542,19.63021164,0.464351156,30.48475514,8.810291922,10.46114407,-3.671695947,0.977569289,5.354837827
1.06,1.045,1.01,1.016428162,1.018825071,1.07,1.059914118,1.09,1.05363607,1.047609231,1.054949575,1.052774339,1.049685916,1.033693507,143.3683753,69.68902318,50.25942525,51.25651642,38.92659536,-4.630347927,-51.99633003,33.41692322,19.11411313,46.28431323,9.827204827,9.476662695,19.21192371,0.081657668,32.99076521,8.155242673,8.758557008,-6.036726813,0.688703934,6.484208431
1.06,1.045,1.01,1.017751654,1.019756577,1.07,1.060827731,1.09,1.054821435,1.048903731,1.05566507,1.05293532,1.049936965,1.034543332,135.5630427,66.16862884,46.77740643,48.37515688,37.20135784,-3.907374159,-47.0091678,32.93070415,18.71646239,45.84654216,8.933688761,9.396497553,18.79029662,0.109935064,32.32150868,8.028721213,9.196110515,-5.212927274,0.584868547,6.080162561
1.06,1.045,1.01,1.017989997,1.019929965,1.07,1.060742401,1.09,1.054532479,1.048256573,1.055234516,1.052690884,1.049680288,1.033540977,141.3349654,67.62125508,51.34421816,48.7147522,37.18208674,-8.132935227,-48.99114948,32.85716554,18.82465404,45.68795839,9.680849565,9.600867869,19.25436361,-0.095992806,33.0535988,8.745381582,9.519693418,-5.656055675,0.613215195,6.670315742
1.06,1.045,1.01,1.018683859,1.020551794,1.07,1.061345465,1.09,1.055380392,1.049683689,1.056191749,1.053232528,1.049401854,1.033909263,124.5160181,62.29245537,43.76300623,46.25991309,36.08943748,-2.775925662,-43.33688502,32.05096555,18.47590552,44.67870488,8.390969052,9.293635887,19.46623425,-0.281224024,32.57446006,7.253056305,10.11299458,-4.783507387,1.124184994,6.204389564
1.06,1.045,1.01,1.019454029,1.021029891,1.07,1.061758821,1.09,1.055806335,1.049919886,1.056440036,1.053355241,1.048823727,1.03326616,121.5705043,60.74880326,42.07346158,44.57802389,35.11458898,-2.857068603,-40.07534949,31.58060611,18.1357373,43.55859447,8.178099295,9.215983573,20.38062518,-0.452468722,32.02256593,7.72141056,10.93170048,-4.985521891,1.519438219,6.28365277
1.06,1.045,1.01,1.018599659,1.020340849,1.07,1.060842761,1.09,1.054540749,1.048837673,1.056135131,1.053621733,1.046857149,1.029117438,128.7716591,62.76183994,41.13282468,44.85965183,35.16170985,-1.496679735,-41.16410725,33.88496384,19.50312466,45.98503393,8.463562942,9.388391488,23.0811646,-0.378002946,34.65833115,7.208447472,12.89724428,-5.934270531,2.706956692,7.783684092
