Pd,Qd,Vm,Va
-0.237494228,0,1.06,0
25.93050603,12.7,1.045,-5.31709842
95.71219189,19,1.01,-13.26488552
50.74784515,-3.9,1.016437545,-10.84672322
6.916683976,1.6,1.018399479,-9.231030181
12.8799907,7.5,1.07,-14.9984225
0.247451141,0,1.060829713,-14.04579527
-0.413219075,0,1.09,-14.00972798
32.48498622,16.6,1.055235257,-15.71200146
9.198783455,5.8,1.050438008,-15.86757851
2.900636463,1.8,1.056879164,-15.5340798
5.904618692,1.6,1.055093698,-15.87444543
15.50019827,5.8,1.049635721,-15.99462089
13.67418085,5,1.035711744,-16.7377498
-0.033656452,0,1.06,0
24.63324538,12.7,1.045,-5.122520795
93.64134474,19,1.01,-12.8715321
52.143871,-3.9,1.017330747,-10.51955967
7.211446958,1.6,1.019242795,-8.941304616
10.8552224,7.5,1.07,-14.44057014
0.352882651,0,1.061655055,-13.456653
-0.682145085,0,1.09,-13.39715914
28.06105812,16.6,1.056331982,-14.99619647
9.308630248,5.8,1.051369886,-15.18133596
2.780056821,1.8,1.05744278,-14.90546041
6.23657804,1.6,1.054740946,-15.34856427
16.52722651,5.8,1.049412447,-15.45851749
13.13996481,5,1.036646052,-16.05614699
0.011487098,0,1.06,0
24.47118414,12.7,1.045,-4.889831247
84.58657689,19,1.01,-12.05947138
48.68957289,-3.9,1.017274893,-10.1699181
7.377491755,1.6,1.019072108,-8.692770043
12.28619045,7.5,1.07,-14.42847905
0.454058384,0,1.061603194,-13.30068861
-0.058406714,0,1.09,-13.29559437
29.71417991,16.6,1.05637795,-14.89954221
9.61147738,5.8,1.05146936,-15.09423424
1.893471029,1.8,1.05788476,-14.8109351
6.736778142,1.6,1.054128202,-15.39372558
17.81228514,5.8,1.048854516,-15.49551903
12.6698001,5,1.036776853,-15.98001427
0.201019358,0,1.06,0
22.11400284,12.7,1.045,-4.452822286
79.92300969,19,1.01,-11.16407907
44.40264979,-3.9,1.018831989,-9.398025226
7.139842213,1.6,1.020643551,-8.017817746
8.078925288,7.5,1.07,-13.2757482
0.408561863,0,1.062211518,-12.4014907
0.041933349,0,1.09,-12.40514603
29.18524781,16.6,1.056751085,-13.93324296
9.579012516,5.8,1.051684328,-14.10290719
2.371765205,1.8,1.05775381,-13.76442809
6.894811234,1.6,1.05422394,-14.23742473
16.9064995,5.8,1.049397735,-14.3213643
12.12709868,5,1.037622014,-14.87929836
-0.124289259,0,1.06,0
25.09856577,12.7,1.045,-4.682384053
86.13781448,19,1.01,-11.7647622
41.8683035,-3.9,1.018892019,-9.659050091
6.323999376,1.6,1.020585983,-8.241848318
7.179059142,7.5,1.07,-13.63722893
0.241029356,0,1.062139589,-12.73313069
0.190036189,0,1.09,-12.74969729
28.62570416,16.6,1.056618884,-14.30284558
10.58276756,5.8,1.051268272,-14.51238011
2.663194995,1.8,1.057404727,-14.16462473
7.53402099,1.6,1.053474332,-14.67427997
17.65452133,5.8,1.048737921,-14.75065698
12.99916755,5,1.036615552,-15.34551158
0.278678996,0,1.06,0
25.79198392,12.7,1.045,-4.377721646
81.07447158,19,1.01,-10.9888371
34.60272368,-3.9,1.020294355,-9.035243501
6.456822488,1.6,1.021580093,-7.759739741
6.380338401,7.5,1.07,-13.1595799
-0.262241253,0,1.06305341,-12.06951393
0.470970452,0,1.09,-12.11053598
27.9029812,16.6,1.057807292,-13.63151195
9.923337362,5.8,1.052483574,-13.84942211
2.555458443,1.8,1.058123155,-13.58803741
8.50330009,1.6,1.052429062,-14.29320621
19.60675519,5.8,1.048047541,-14.34228961
12.21581299,5,1.037577047,-14.72468126
-0.186453074,0,1.06,0
28.82787838,12.7,1.045,-4.532526788
80.60922511,19,1.01,-11.17259831
41.65172492,-3.9,1.019731483,-9.28454146
6.636730573,1.6,1.02140206,-7.926843634
5.64426707,7.5,1.07,-13.05185835
-0.042176573,0,1.062711634,-12.18768323
0.25034802,0,1.09,-12.20949583
26.47122154,16.6,1.057275809,-13.68166369
11.18412178,5.8,1.051623295,-13.92433643
2.952385522,1.8,1.05746669,-13.59259432
6.893076969,1.6,1.054086029,-14.03908908
18.33527189,5.8,1.048943763,-14.14569499
11.49041139,5,1.0381924,-14.60948962
-0.164157885,0,1.06,0
30.53843862,12.7,1.045,-4.622205889
82.02466646,19,1.01,-11.34562632
41.97506092,-3.9,1.01980643,-9.380767672
7.942112234,1.6,1.021380031,-8.021749023
5.370254684,7.5,1.07,-13.0835098
-0.274011989,0,1.06281472,-12.20873586
0.105566935,0,1.09,-12.21793292
24.88880954,16.6,1.0574127,-13.68480283
12.42831095,5.8,1.051423802,-13.97594933
2.889743368,1.8,1.057385025,-13.63114223
6.176342118,1.6,1.054646703,-14.02798913
19.03243865,5.8,1.048844053,-14.1785653
11.04011213,5,1.038557304,-14.58937805
-0.099599965,0,1.06,0
33.8329014,12.7,1.045,-5.069722172
94.1389733,19,1.01,-12.5961063
48.16789329,-3.9,1.019427776,-10.03009294
7.459121326,1.6,1.021345094,-8.494717931
4.459769193,7.5,1.07,-13.20527432
-0.59923747,0,1.06242688,-12.66371353
-0.445575117,0,1.09,-12.62488055
24.96659581,16.6,1.056669494,-14.08872538
12.17234223,5.8,1.050818158,-14.32093403
2.865306569,1.8,1.05702214,-13.86489017
6.069689389,1.6,1.055332933,-14.06518089
14.58506109,5.8,1.050563519,-14.1574204
12.10216886,5,1.038089666,-14.89338606
-0.078713814,0,1.06,0
31.52984732,12.7,1.045,-5.192416465
99.41865218,19,1.01,-13.10114835
49.17721435,-3.9,1.019025176,-10.29550135
8.12948094,1.6,1.02100562,-8.705357944
4.550540155,7.5,1.07,-13.37572767
-0.53402215,0,1.06207364,-12.95716577
-0.376271322,0,1.09,-12.92436189
26.0316791,16.6,1.056141633,-14.38935174
13.68928046,5.8,1.049952362,-14.65298646
2.845708557,1.8,1.056537788,-14.11594584
5.38991951,1.6,1.05606625,-14.17128776
14.45074069,5.8,1.051037046,-14.28574884
10.17302632,5,1.03939199,-14.96456731
0.268150764,0,1.06,0
31.90552948,12.7,1.045,-4.943062097
102.0724261,19,1.01,-12.78218318
41.941006,-3.9,1.02138142,-9.673037038
7.897209036,1.6,1.022892092,-8.187435542
4.562939272,7.5,1.07,-12.55513877
-0.831578192,0,1.063642477,-12.04711801
-0.263218808,0,1.09,-12.02420405
20.70901932,16.6,1.058068122,-13.34092092
13.93001558,5.8,1.051588198,-13.64680599
2.51176406,1.8,1.057573776,-13.18542892
5.270001741,1.6,1.056374032,-13.30909565
13.79751264,5.8,1.051686194,-13.40124419
10.1931347,5,1.040780648,-13.98751395
0.70562182,0,1.06,0
31.6655733,12.7,1.045,-5.177184487
104.2267038,19,1.01,-13.28798729
49.54431805,-3.9,1.020296113,-10.16642892
8.9629497,1.6,1.021986815,-8.591041882
5.200600874,7.5,1.07,-12.98975662
-0.818140751,0,1.06333046,-12.44556201
-0.257550603,0,1.09,-12.42313491
19.43051337,16.6,1.057922415,-13.68795332
13.87707909,5.8,1.051568274,-13.99824717
2.017222542,1.8,1.057794163,-13.55296568
5.658621161,1.6,1.056013826,-13.76601252
14.10398939,5.8,1.051633281,-13.83235274
9.467279994,5,1.041206419,-14.31319204
0.801113864,0,1.06,0
31.15708424,12.7,1.045,-5.274070083
106.558094,19,1.01,-13.57245997
50.72958316,-3.9,1.019922884,-10.35687346
9.679542074,1.6,1.02168183,-8.746161362
6.112770291,7.5,1.07,-13.10492417
-0.541635738,0,1.063030227,-12.66020326
-0.457769521,0,1.09,-12.62033015
20.45802701,16.6,1.057489968,-13.91095455
14.85132873,5.8,1.050907329,-14.24008107
2.163254781,1.8,1.057357289,-13.73941218
6.341334995,1.6,1.055889359,-13.86069143
11.30278884,5.8,1.052964197,-13.83354686
8.465807248,5,1.04225297,-14.35944442
0.648156808,0,1.06,0
34.34070079,12.7,1.045,-5.167506011
97.17253948,19,1.01,-12.88250338
51.84401251,-3.9,1.019799154,-10.16475721
10.10223111,1.6,1.021490497,-8.622168662
6.554276829,7.5,1.07,-13.13765368
-0.347773306,0,1.063250102,-12.46751989
-0.926024468,0,1.09,-12.38687703
21.51449914,16.6,1.058035539,-13.73255368
11.83109318,5.8,1.052085419,-14.00540392
