F_BUS,T_BUS,PF,QF,PT,QT
1,2,154.461732809324,-19.8367409340002,-150.297509891931,26.7014780352461
1,5,73.6390210924519,3.57072181661951,-71.0121346002224,1.94743371224732
2,3,72.8383780300585,3.59957166307624,-70.5399988513024,1.45800133768678
2,4,54.5721999459093,-1.70892889585613,-52.9874366974308,2.89733038009706
2,5,39.9646078176593,1.00188408047765,-39.1273116510588,-2.13622655429186
3,4,-24.4148029742022,4.43325383830569,24.8233604670028,-4.70734167948879
4,5,-61.1330188967041,15.6478965720726,61.6454244591726,-14.0316120600465
4,7,26.3308790022335,-9.54561827103493,-26.3308790022335,11.0579595825759
4,9,15.1349977213265,-0.392267001247018,-15.1349977213265,1.54609053367695
5,6,40.7358009141741,12.620404902831,-40.7358009141741,-8.79729543899957
6,11,7.7071241231346,3.29690539954467,-7.6488292273181,-3.17482859623975
6,12,6.99491775959331,2.4487023724161,-6.93595336152907,-2.32598100988406
6,13,15.9825640991717,6.98380858492988,-15.8067943003426,-6.63766298109816
7,8,-0.0661881638511164,-16.9021908862535,0.0661881638511164,17.3484177541904
7,9,26.5919438508743,5.84423130383876,-26.5919438508743,-5.1211307893753
9,10,5.03248662819776,4.49702559931729,-5.01950004677788,-4.46252807872691
9,14,6.94887236488281,3.67640125927493,-6.87846171787679,-3.52662837958421
10,11,-4.43865262639999,-1.33747192126646,4.45461094983124,1.37482859623831
12,13,1.48386989945938,0.725981009885689,-1.47846570095619,-0.721091496954225
13,14,4.97070199730644,1.5587544780582,-4.92876621240623,-1.47337162039148
1,2,174.987254429916,-24.5353180999729,-169.625541547552,35.0561687836386
1,5,81.290193848218,3.81822846787649,-78.0917572583624,4.0686796275094
2,3,81.6803583365942,2.80048019677815,-78.7979243482796,4.71772976181176
2,4,58.7958143230271,-1.52465965838038,-56.9562077906951,3.49319809568004
2,5,42.663970532696,1.40953590136119,-41.7090389083438,-2.17813802259055
3,4,-29.068945665062,7.7234181219373,29.6701147057715,-7.50331234870788
4,5,-67.1902271325962,17.4670362428233,67.812831186937,-15.5031518437003
4,7,30.1635199448821,-9.4285363496766,-30.1635199448821,11.3615778294715
4,9,17.2786227619803,-0.128385639984753,-17.2786227619802,1.63715434304084
5,6,43.7549009739742,12.0126102391242,-43.7549009739742,-7.6688954866763
6,11,9.2214991366984,3.18353013548858,-9.14254610084635,-3.01819260305045
6,12,7.00242823832993,2.39890430916132,-6.94361013704101,-2.27648743103327
6,13,16.409530147856,6.9417608095579,-16.2261077807155,-6.58054490982408
7,8,-0.302194920251655,-17.9626598272967,0.302194920251655,18.4684948787969
7,9,30.223020398518,6.60108199794102,-30.223020398518,-5.66436464945302
9,10,3.50312251721211,4.67792558201967,-3.49333835513453,-4.65193495971361
9,14,6.73171112886988,3.84751748440178,-6.66289324089115,-3.7011326165575
10,11,-6.23348886607853,-1.14806503989902,6.2634465198917,1.21819260318841
12,13,1.68037345327336,0.676487431054195,-1.67387673876646,-0.670609451262241
13,14,6.80274356750957,1.45115436114494,-6.72794782846409,-1.2988673834195
1,2,178.183951855221,-25.244117357143,-172.622150289708,36.3758683185153
1,5,82.6883035970686,3.89667361549332,-79.3791243638201,4.44931052474093
2,3,83.2538328915523,2.67425277164706,-80.2602843243908,5.31208557967188
2,4,59.7854262957825,-1.52250175735931,-57.8833737753894,3.68185516597605
2,5,43.3450073371569,1.46308324549045,-42.3593424914194,-2.13649898437703
3,4,-29.6699171101873,8.2316818681959,30.3000378291777,-7.9371786503828
4,5,-68.4131713127813,17.8888694993736,69.059617321795,-15.8497802529643
4,7,30.6221136761727,-9.54155922240495,-30.6221136761727,11.5342222209841
4,9,17.4067517078314,-0.191986792341756,-17.4067517078314,1.72448421574969
5,6,44.8567465897291,11.936968712718,-44.8567465897291,-7.3876540888557
6,11,9.64283617326243,3.27035536536151,-9.55682446735503,-3.09023609493635
6,12,6.95677580709232,2.45256863069057,-6.89836234647798,-2.33099392269485
6,13,15.708832089664,6.92425477850515,-15.5385530630489,-6.58892221921333
7,8,-0.0870186141998547,-18.0250087389446,0.087018614199854,18.5343314910608
7,9,29.9975152737416,6.49078651816983,-29.9975152737416,-5.56858941256197
9,10,5.49495169449492,4.61630177830511,-5.48019741499272,-4.57710854919678
