Pd,Qd,Vm,Va
-0.353881272,0,1.06,0
21.1054313,12.7,1.045,-5.234861931
100.9960328,19,1.01,-13.48840748
54.07546851,-3.9,1.017049426,-10.78192354
7.894244305,1.6,1.019146334,-9.12197008
11.42566055,7.5,1.07,-14.37685208
0.223180445,0,1.061251945,-13.69220904
-0.27600274,0,1.09,-13.66812808
29.73628909,16.6,1.055588445,-15.20298349
8.282000203,5.8,1.050839578,-15.32023735
3.682744123,1.8,1.056736941,-14.98970861
6.377147205,1.6,1.055407854,-15.18464695
10.85171272,5.8,1.051724556,-15.19488384
13.89141192,5,1.036659017,-16.11777236
-0.368758928,0,1.06,0
18.52111315,12.7,1.045,-5.376201232
104.0966708,19,1.01,-13.93216196
54.17242623,-3.9,1.01593916,-11.13495881
8.331623568,1.6,1.018169367,-9.420447585
10.47432062,7.5,1.07,-14.84837874
0.636603881,0,1.060298076,-14.30248927
0.243004729,0,1.09,-14.32371026
33.69138966,16.6,1.054303361,-15.89406281
8.779475848,5.8,1.049665074,-15.98116408
3.171358497,1.8,1.056294965,-15.53119242
7.163472717,1.6,1.054599874,-15.73989412
11.52163408,5.8,1.051193514,-15.73439144
13.27525408,5,1.036128169,-16.69489093
-0.175146923,0,1.06,0
19.10886048,12.7,1.045,-4.928920193
90.71560345,19,1.01,-12.52860145
50.18264636,-3.9,1.017143211,-10.35807641
9.835960092,1.6,1.018896501,-8.844977187
11.76903094,7.5,1.07,-14.3864481
0.437169118,0,1.061545209,-13.40248107
0.312825257,0,1.09,-13.42976721
28.25559585,16.6,1.056247008,-14.93670735
9.022030941,5.8,1.051313907,-15.12046022
3.218533443,1.8,1.057231365,-14.86979235
8.225675047,1.6,1.053441004,-15.36686361
13.1855526,5.8,1.050524128,-15.31433508
13.82112654,5,1.036582497,-16.01384569
-0.047393775,0,1.06,0
21.20707205,12.7,1.045,-4.672572518
87.7378903,19,1.01,-11.90490851
45.56332046,-3.9,1.01885246,-9.761587241
9.929895578,1.6,1.020382006,-8.346973102
10.3582103,7.5,1.07,-13.56368527
0.253310224,0,1.062588539,-12.61792976
0.606187498,0,1.09,-12.67075247
24.99558268,16.6,1.05743175,-14.0496094
10.51773458,5.8,1.051865072,-14.30534684
3.602281692,1.8,1.057351749,-14.07045831
8.692678282,1.6,1.053381156,-14.53045959
12.32711694,5.8,1.051485204,-14.4147781
11.76688456,5,1.039198102,-14.95473309
-0.032118422,0,1.06,0
24.5342773,12.7,1.045,-4.65015924
83.03487288,19,1.01,-11.57260444
47.97810397,-3.9,1.019020835,-9.664521908
11.47941126,1.6,1.020508527,-8.28265157
10.93054526,7.5,1.07,-13.35603758
-0.190313227,0,1.062946664,-12.3632959
1.093973667,0,1.09,-12.45859183
21.4265472,16.6,1.0580014,-13.71042859
10.54628837,5.8,1.052405655,-13.98385424
3.253214588,1.8,1.057805327,-13.78770546
9.409735314,1.6,1.052998838,-14.32769755
10.17863559,5.8,1.052212581,-14.13432398
13.04588273,5,1.038910988,-14.74246635
0.177918799,0,1.06,0
26.63451166,12.7,1.045,-4.502734654
84.26847395,19,1.01,-11.3414076
46.07193469,-3.9,1.02044651,-9.251397616
9.067552939,1.6,1.022062077,-7.874323158
9.371764519,7.5,1.07,-12.50603044
0.179993723,0,1.063559747,-11.75905779
0.472845408,0,1.09,-11.80022354
21.56135395,16.6,1.058434912,-13.02263763
9.332169052,5.8,1.052976002,-13.23437197
3.807454252,1.8,1.05784084,-13.01694398
8.218159841,1.6,1.054421206,-13.35075683
8.524842818,5.8,1.053392009,-13.1860984
12.12723579,5,1.040341021,-13.86688375
-0.038262154,0,1.06,0
26.97714861,12.7,1.045,-4.011435858
69.10509951,19,1.01,-9.811248489
45.2422171,-3.9,1.021150873,-8.438229412
