Pd,Qd,Vm,Va
0,0,1.06,0
21.01019394,12.7,1.045,-5.220407396
100.7991335,19,1.01,-13.45989911
54.71467875,-3.9,1.01706662,-10.76267004
7.374486864,1.6,1.019226393,-9.094324087
11.45084016,7.5,1.07,-14.32304588
0,0,1.061259364,-13.6577668
0,0,1.09,-13.6577668
29.40800407,16.6,1.055582527,-15.15773765
8.462115842,5.8,1.050802069,-15.27782882
3.565587237,1.8,1.056763887,-14.93581377
5.822146041,1.6,1.055847294,-15.098343
11.17937767,5.8,1.051655869,-15.14320114
13.87123969,5,1.036639615,-16.06818197
-0.306934097,0,1.06,0
18.86262924,12.7,1.045,-5.365887461
103.8659387,19,1.01,-13.89500449
53.85756253,-3.9,1.016045915,-11.10109437
8.196064657,1.6,1.018238557,-9.395821515
10.14212537,7.5,1.07,-14.8459216
0.199220775,0,1.060358633,-14.23613134
-0.263982292,0,1.09,-14.21307975
33.63738025,16.6,1.054378129,-15.86420568
8.893367377,5.8,1.049643274,-15.96806962
3.601432608,1.8,1.056105635,-15.54486238
7.145752128,1.6,1.05454135,-15.74600065
11.84652231,5.8,1.050980991,-15.74955851
13.64437073,5,1.035808383,-16.71448938
-0.426984852,0,1.06,0
19.44177422,12.7,1.045,-4.928787285
90.65470306,19,1.01,-12.5187396
50.03994259,-3.9,1.017174825,-10.34660411
9.542488247,1.6,1.018946489,-8.831881659
11.71443245,7.5,1.07,-14.3708838
0.651113528,0,1.061539531,-13.39930788
0.239813314,0,1.09,-13.42022568
28.16499273,16.6,1.056220242,-14.92999074
8.721761239,5.8,1.051331308,-15.10624865
3.484285012,1.8,1.057128168,-14.86822174
7.88889875,1.6,1.053701076,-15.33259911
13.2428966,5.8,1.050458322,-15.30206445
14.20905701,5,1.036250685,-16.03603532
-0.165873801,0,1.06,0
21.57225899,12.7,1.045,-4.685082235
87.99750193,19,1.01,-11.93051269
45.94754147,-3.9,1.01887991,-9.771281754
9.970495858,1.6,1.020432913,-8.350670105
10.34307917,7.5,1.07,-13.52235949
0.488161287,0,1.06259107,-12.60567516
0.348250199,0,1.09,-12.63602134
24.80727468,16.6,1.057407229,-14.02735785
10.60480409,5.8,1.051850851,-14.27866346
3.370044757,1.8,1.057438423,-14.02496756
8.100014522,1.6,1.053867312,-14.45291883
12.55196307,5.8,1.051447865,-14.37326717
11.83688093,5,1.039115333,-14.92977815
-0.04174794,0,1.06,0
24.47493951,12.7,1.045,-4.605503643
83.01625368,19,1.01,-11.49865037
47.70520911,-3.9,1.019303879,-9.571793462
11.18944092,1.6,1.020792126,-8.196365308
10.78576583,7.5,1.07,-13.19560564
0.302437043,0,1.063121036,-12.22339246
0.561385469,0,1.09,-12.27228666
21.14055783,16.6,1.058193124,-13.5484876
10.55990502,5.8,1.052553814,-13.82370795
3.310329127,1.8,1.057857529,-13.63036127
9.212153151,1.6,1.053234197,-14.14533363
10.15244108,5.8,1.052412679,-13.9558517
12.44149777,5,1.039552649,-14.52465109
-0.032897329,0,1.06,0
26.11739617,12.7,1.045,-4.514063505
83.90237715,19,1.01,-11.35272732
45.74999179,-3.9,1.020242609,-9.298497388
9.664057238,1.6,1.021807045,-7.929232937
9.657421677,7.5,1.07,-12.64263219
-0.173559927,0,1.063464317,-11.85597058
0.952800942,0,1.09,-11.93892856
21.90226123,16.6,1.058368468,-13.13809638
9.937670137,5.8,1.052834037,-13.36641761
3.324519553,1.8,1.057972043,-13.12701248
8.571096966,1.6,1.054049366,-13.52085182
9.092430839,5.8,1.053167348,-13.34476179
11.66872846,5,1.040541678,-13.96468954
0.151570662,0,1.06,0
26.46258573,12.7,1.045,-3.988339458
68.77228312,19,1.01,-9.768803533
44.7991493,-3.9,1.021135356,-8.413936558
9.315677586,1.6,1.022801896,-7.183199335
8.430369797,7.5,1.07,-11.60319091
0.186379589,0,1.063948238,-10.86684937
0.538928422,0,1.09,-10.91375116
21.05090023,16.6,1.058864768,-12.09837225
9.33284196,5.8,1.053347088,-12.31268544
3.739323431,1.8,1.058065365,-12.1013183
7.422631937,1.6,1.055114383,-12.39389215
9.145611328,5.8,1.053464046,-12.27296185
11.31308722,5,1.041214911,-12.88213241
-0.040244436,0,1.06,0
26.39379987,12.7,1.045,-3.900089803
62.48097903,19,1.01,-9.341213015
47.92800098,-3.9,1.020551804,-8.347013109
